parent_station,station_name,from_line,to_line,from_late_over_5_minutes,to_late_over_5_minutes,combined_late_exposure
place-dwnxg,Downtown Crossing,Orange,Red,0.12292176554983543,0.3205792323993407,0.40409483270403823
place-gover,Government Center,Blue,Green,0.3341536227206713,0.22208908113163434,0.4820308328254649
place-haecl,Haymarket,Green,Orange,0.20073578790621624,0.1217511985869291,0.29804716371627193
place-north,North Station,Green,Orange,0.19258206704558636,0.11977809531814743,0.28929304918058163
place-pktrm,Park Street,Green,Red,0.2191732548875406,0.3260934601806977,0.4737957500028942
place-state,State,Blue,Orange,0.34355828220858897,0.11317254174397032,0.41784945991782096
