line,alert_category,distinct_alerts
Blue,accessibility,227
Blue,delay,117
Blue,other_notice,3
Blue,service_change,14
Green,accessibility,190
Green,delay,88
Green,other_notice,6
Green,service_change,22
Mattapan,delay,12
Mattapan,other_notice,1
Mattapan,service_change,2
Orange,accessibility,330
Orange,delay,55
Orange,other_notice,2
Orange,service_change,7
Red,accessibility,503
Red,delay,134
Red,other_notice,3
Red,service_change,7
