parent_station,service_hour,from_line,from_direction,to_line,to_direction,comparable_connections,mean_extra_transfer_wait_seconds,missed_scheduled_connection_rate
place-asmnl,18,Red,0,Mattapan,1,484,109.18595041322314,0.5909090909090909
place-asmnl,18,Red,1,Mattapan,1,443,148.78103837471784,0.4108352144469526
place-asmnl,19,Mattapan,1,Red,0,430,113.94186046511628,0.13023255813953485
place-asmnl,19,Mattapan,1,Red,1,430,138.77209302325582,0.45348837209302323
place-asmnl,19,Red,0,Mattapan,1,498,118.90763052208835,0.5080321285140562
place-asmnl,19,Red,1,Mattapan,1,447,185.48322147651007,0.26174496644295303
place-asmnl,20,Mattapan,1,Red,0,422,119.79620853080569,0.17298578199052128
place-asmnl,20,Mattapan,1,Red,1,422,166.1990521327014,0.4881516587677725
place-asmnl,20,Red,0,Mattapan,1,475,146.62105263157895,0.49894736842105264
place-asmnl,20,Red,1,Mattapan,1,397,188.78337531486147,0.18136020151133497
place-asmnl,21,Mattapan,1,Red,0,415,137.03132530120482,0.21445783132530116
place-asmnl,21,Mattapan,1,Red,1,414,157.3768115942029,0.49516908212560384
place-asmnl,21,Red,0,Mattapan,1,458,165.66375545851528,0.5436681222707423
place-asmnl,21,Red,1,Mattapan,1,380,271.38947368421054,0.3078947368421053
place-asmnl,22,Mattapan,1,Red,0,377,104.96286472148542,0.21485411140583555
place-asmnl,22,Mattapan,1,Red,1,377,172.9893899204244,0.5358090185676392
place-asmnl,22,Red,0,Mattapan,1,437,178.42105263157896,0.631578947368421
place-asmnl,22,Red,1,Mattapan,1,372,245.04301075268816,0.3951612903225806
place-asmnl,23,Mattapan,1,Red,0,337,120.0860534124629,0.314540059347181
place-asmnl,23,Mattapan,1,Red,1,340,183.33529411764707,0.5088235294117647
place-asmnl,23,Red,0,Mattapan,1,365,240.52328767123288,0.7424657534246575
place-asmnl,23,Red,1,Mattapan,1,311,159.2926045016077,0.4533762057877814
place-dwnxg,0,Orange,0,Red,0,399,649.6516290726817,0.3082706766917293
place-dwnxg,0,Orange,0,Red,1,542,583.8948339483395,0.16789667896678964
place-dwnxg,0,Orange,1,Red,0,411,470.27980535279806,0.2238442822384428
place-dwnxg,0,Orange,1,Red,1,541,694.5341959334565,0.15711645101663582
