line,effect,distinct_alerts
Blue,ACCESSIBILITY_ISSUE,227
Blue,DETOUR,11
Blue,OTHER_EFFECT,119
Blue,REDUCED_SERVICE,3
Blue,UNKNOWN_EFFECT,1
Green,ACCESSIBILITY_ISSUE,190
Green,DETOUR,6
Green,NO_SERVICE,7
Green,OTHER_EFFECT,94
Green,REDUCED_SERVICE,9
Mattapan,DETOUR,2
Mattapan,OTHER_EFFECT,13
Orange,ACCESSIBILITY_ISSUE,330
Orange,DETOUR,2
Orange,OTHER_EFFECT,57
Orange,REDUCED_SERVICE,5
Red,ACCESSIBILITY_ISSUE,503
Red,DETOUR,6
Red,NO_SERVICE,1
Red,OTHER_EFFECT,135
Red,UNKNOWN_EFFECT,2
