line,comparable_stop_events,median_schedule_difference_seconds,mean_schedule_difference_seconds,share_late_over_5_minutes,share_within_5_minutes
Blue,244973,114.0,273.08420111604136,0.33779641021663614,0.6112183791683166
Green,1430518,58.0,64.4076823919727,0.2068222839558817,0.6707535312383347
Mattapan,120629,-40.0,-22.088768040852532,0.04833000356464864,0.9332830413913735
Orange,443275,43.0,74.42688850036659,0.12350572443742598,0.8246077491399244
Red,357515,187.0,246.9222102569123,0.36562381997958127,0.590833951023034
