service_date,line,distinct_service_impact_alerts
2026-09-06,Green,1
2026-09-06,Red,1
2026-09-07,Green,2
2026-09-07,Mattapan,1
2026-09-07,Orange,1
2026-09-07,Red,1
2026-09-08,Blue,3
2026-09-08,Green,1
2026-09-08,Red,1
2026-09-09,Green,1
2026-09-10,Green,1
2026-09-10,Orange,1
2026-09-11,Blue,1
2026-09-11,Green,3
2026-09-11,Orange,1
2026-09-11,Red,1
2026-09-12,Green,3
2026-09-12,Red,1
2026-09-13,Red,2
2026-09-14,Blue,1
2026-09-14,Mattapan,1
2026-09-15,Blue,1
2026-09-16,Green,3
2026-09-16,Orange,1
2026-09-16,Red,1
2026-09-17,Green,1
2026-09-17,Orange,1
2026-09-17,Red,1
2026-09-18,Blue,1
2026-09-18,Green,1
2026-09-18,Red,2
2026-09-19,Blue,2
2026-09-19,Mattapan,1
2026-09-19,Orange,1
2026-09-19,Red,3
