line,parent_station,service_hour,comparable_observations,mean_excess_wait_seconds
Blue,place-mvbcl,8,2019,24.670876671619613
Blue,place-mvbcl,9,1929,28.14307931570762
Blue,place-mvbcl,10,1252,69.40535143769968
Blue,place-mvbcl,11,1042,105.59836852207293
Blue,place-mvbcl,12,1235,68.89838056680162
Blue,place-mvbcl,13,1508,40.09316976127321
Blue,place-mvbcl,14,1748,34.275171624713956
Blue,place-mvbcl,15,1875,26.445333333333334
Blue,place-mvbcl,16,1955,29.365728900255753
Blue,place-mvbcl,17,1945,28.148329048843188
Blue,place-mvbcl,18,1882,33.10998937300744
Blue,place-mvbcl,19,1706,35.63716295427901
Blue,place-mvbcl,20,1571,49.562062380649266
Blue,place-mvbcl,21,1330,60.677067669172935
Blue,place-mvbcl,22,1364,37.5392228739003
Blue,place-mvbcl,23,1182,39.25338409475465
Blue,place-orhte,0,733,60.66643929058663
Blue,place-orhte,1,241,69.42116182572614
Blue,place-orhte,2,27,148.53703703703704
Blue,place-orhte,4,1,13.5
Blue,place-orhte,5,841,23.885850178359096
Blue,place-orhte,6,1840,22.91983695652174
Blue,place-orhte,7,1994,24.18505516549649
Blue,place-orhte,8,1985,24.07506297229219
Blue,place-orhte,9,1764,35.20323129251701
Blue,place-orhte,10,1161,91.90611541774332
Blue,place-orhte,11,984,117.10213414634147
Blue,place-orhte,12,1190,70.63067226890756
Blue,place-orhte,13,1482,39.30161943319838
Blue,place-orhte,14,1685,32.32789317507418
Blue,place-orhte,15,1851,27.12776877363587
Blue,place-orhte,16,1877,38.59483217900906
Blue,place-orhte,17,1932,31.03416149068323
Blue,place-orhte,18,1825,34.12986301369863
Blue,place-orhte,19,1674,33.29360812425328
Blue,place-orhte,20,1529,38.69228253760628
Blue,place-orhte,21,1287,100.33838383838385
Blue,place-orhte,22,1292,39.41292569659443
Blue,place-orhte,23,1190,45.91512605042017
Blue,place-rbmnl,0,750,59.07266666666667
Blue,place-rbmnl,1,238,68.47058823529412
Blue,place-rbmnl,2,29,183.29310344827587
Blue,place-rbmnl,4,1,0.0
Blue,place-rbmnl,5,776,17.67139175257732
Blue,place-rbmnl,6,1850,21.585675675675677
Blue,place-rbmnl,7,1953,22.164874551971327
Blue,place-rbmnl,8,1990,23.414824120603015
Blue,place-rbmnl,9,1727,32.290387955993054
Blue,place-rbmnl,10,1125,77.14933333333333
Blue,place-rbmnl,11,972,114.90586419753086
Blue,place-rbmnl,12,1191,71.97900923593619
Blue,place-rbmnl,13,1461,39.48870636550308
Blue,place-rbmnl,14,1680,33.82172619047619
Blue,place-rbmnl,15,1815,27.159779614325068
Blue,place-rbmnl,16,1881,29.280170122275386
Blue,place-rbmnl,17,1904,28.31171218487395
Blue,place-rbmnl,18,1806,38.019102990033225
Blue,place-rbmnl,19,1695,30.344542772861356
Blue,place-rbmnl,20,1543,34.27316915100454
Blue,place-rbmnl,21,1244,66.61414790996784
Blue,place-rbmnl,22,1288,43.0333850931677
Blue,place-rbmnl,23,1149,48.79416884247171
Blue,place-sdmnl,0,768,56.940104166666664
Blue,place-sdmnl,1,234,63.361111111111114
Blue,place-sdmnl,2,28,152.01785714285714
Blue,place-sdmnl,4,2,6.25
Blue,place-sdmnl,5,774,17.200258397932817
Blue,place-sdmnl,6,1867,22.911087305838244
Blue,place-sdmnl,7,1955,22.16828644501279
Blue,place-sdmnl,8,1986,22.94008056394763
Blue,place-sdmnl,9,1743,33.1310958118187
Blue,place-sdmnl,10,1125,74.356
Blue,place-sdmnl,11,985,114.24619289340102
Blue,place-sdmnl,12,1187,72.9502948609941
Blue,place-sdmnl,13,1486,38.26244952893674
Blue,place-sdmnl,14,1648,33.57372572815534
Blue,place-sdmnl,15,1863,25.64868491680086
Blue,place-sdmnl,16,1871,30.295029396044896
Blue,place-sdmnl,17,1920,28.07734375
Blue,place-sdmnl,18,1813,31.04329840044126
Blue,place-sdmnl,19,1677,33.63774597495528
Blue,place-sdmnl,20,1535,34.16156351791531
Blue,place-sdmnl,21,1265,77.2090909090909
Blue,place-sdmnl,22,1311,38.00152555301297
Blue,place-sdmnl,23,1145,45.68995633187773
Blue,place-state,0,801,65.68913857677903
Blue,place-state,1,211,146.74170616113744
Blue,place-state,2,2,592.0
Blue,place-state,4,1,436.0
Blue,place-state,5,861,33.77351916376307
Blue,place-state,6,1867,23.25066952329941
Blue,place-state,7,1973,22.97339077546883
Blue,place-state,8,2043,24.48947626040137
Blue,place-state,9,1930,29.223316062176167
Blue,place-state,10,1266,68.17733017377567
Blue,place-state,11,1063,105.8414863593603
Blue,place-state,12,1240,68.77701612903226
Blue,place-state,13,1496,41.2774064171123
Blue,place-state,14,1764,35.0031179138322
Blue,place-state,15,1895,25.241952506596306
Blue,place-state,16,1973,30.20881905727319
Blue,place-state,17,1982,27.945005045408678
Blue,place-state,18,1888,32.32097457627118
Blue,place-state,19,1717,35.26179382644147
Blue,place-state,20,1589,35.78791692888609
Blue,place-state,21,1324,49.757552870090635
Blue,place-state,22,1352,37.32433431952663
Blue,place-state,23,1218,37.85385878489327
Blue,place-wimnl,0,714,56.48389355742297
Blue,place-wimnl,1,256,75.0546875
Blue,place-wimnl,2,29,158.41379310344828
Blue,place-wimnl,4,1,36.0
Blue,place-wimnl,5,837,25.898446833930706
Blue,place-wimnl,6,1824,23.73985745614035
Blue,place-wimnl,7,1956,23.609918200409
Blue,place-wimnl,8,1967,24.811133706151498
Blue,place-wimnl,9,1862,28.85982814178303
Blue,place-wimnl,10,1227,71.00366748166259
Blue,place-wimnl,11,1029,109.82993197278911
Blue,place-wimnl,12,1192,66.18246644295301
Blue,place-wimnl,13,1500,39.58233333333333
Blue,place-wimnl,14,1641,33.97684338817794
Blue,place-wimnl,15,1855,25.510242587601077
Blue,place-wimnl,16,1866,30.587888531618436
Blue,place-wimnl,17,1892,30.50396405919662
Blue,place-wimnl,18,1789,33.24958077138066
Blue,place-wimnl,19,1658,34.376357056694815
Blue,place-wimnl,20,1536,34.982096354166664
Blue,place-wimnl,21,1292,92.39512383900929
Blue,place-wimnl,22,1319,37.59931766489765
Blue,place-wimnl,23,1199,42.87864887406172
Blue,place-wondl,0,263,66.99809885931559
Blue,place-wondl,1,53,92.33018867924528
Blue,place-wondl,2,1,978.5
Blue,place-wondl,5,623,11.296950240770466
Blue,place-wondl,6,960,18.3015625
Blue,place-wondl,7,982,16.89307535641548
Blue,place-wondl,8,1004,18.31723107569721
Blue,place-wondl,9,836,28.541267942583733
Blue,place-wondl,10,570,87.17105263157895
Blue,place-wondl,11,486,100.44341563786008
Blue,place-wondl,12,608,62.50411184210526
Blue,place-wondl,13,772,32.67422279792746
Blue,place-wondl,14,846,30.614657210401887
Blue,place-wondl,15,963,37.5134994807892
Blue,place-wondl,16,930,28.461290322580645
Blue,place-wondl,17,956,24.692991631799163
Blue,place-wondl,18,900,28.281111111111112
Blue,place-wondl,19,807,28.89467162329616
